seqname	group	gate-1_norm-percent	gate-2_norm-percent	gate-3_norm-percent	gate-4_norm-percent	gate-5_norm-percent	gate-1_norm-count	gate-2_norm-count	gate-3_norm-count	gate-4_norm-count	gate-5_norm-count	corrected-p	enriched-gate
FP026372_MBOAT7_1	promoter	23.134961325687087	26.93656399934171	14.545592647449773	17.017963617029356	18.364918410492066	0.6091666666666667	0.7092666666666667	0.383	0.4481	0.48356666666666664	1.0	0
FP024575_TXNL4A_1	promoter	27.81646605331103	35.560687055286856	4.64229002266749	4.05590506321442	27.924651805520202	3.0597	3.9115333333333333	0.5106333333333333	0.4461333333333333	3.0716	1.0	0
ENSG00000270339.3(-)	enhancer	21.219058309210137	19.349264488686714	17.805872275063507	16.86359071306197	24.76221421397767	0.4789	0.4367	0.40186666666666665	0.3806	0.5588666666666667	1.0	0
FP019371_REC8_1	promoter	25.581560283687942	15.672340425531914	11.229787234042554	13.0	34.51631205673759	0.6011666666666666	0.3683	0.2639	0.3055	0.8111333333333334	1.0	0
FP022375_INPP5K_1	promoter	25.33592969941433	19.47870665202899	29.495745304435516	14.477887008400106	11.211731335721064	1.7001	1.3070666666666666	1.9792333333333334	0.9714999999999999	0.7523333333333333	1.0	0
FP003593_DNAH6_2	promoter	8.63257895315996	16.24179290613652	0.1714778270916627	36.2542640208341	38.699886292777755	0.3138	0.5904	0.006233333333333334	1.3178666666666667	1.4067666666666667	1.0	0
FP000030_MRPL20_1	promoter	20.32805741603863	19.094547153760438	44.10023843471801	2.9636596733803806	13.513497322102538	1.1310666666666667	1.0624333333333333	2.4537666666666667	0.1649	0.7519	1.0	0
FP022019_HSD11B2_3	promoter	38.01172642970232	26.523652939436648	11.731649181411697	11.560276284426816	12.172695165022533	1.4565333333333332	1.0163333333333333	0.44953333333333334	0.4429666666666667	0.46643333333333337	1.0	0
FP001527_TSPAN2_1	promoter	15.205043000859252	35.8720695921952	7.153122599974145	5.318267190838649	36.451497616132734	0.6665333333333333	1.5725	0.31356666666666666	0.23313333333333333	1.5979	1.0	0
FP023950_UBE2O_2	promoter	26.286373513138145	31.89948701865998	13.089424520060037	16.499406375305213	12.225308572836632	1.5646	1.8987	0.7791	0.9820666666666666	0.7276666666666667	1.0	0
FP016668_PIWIL4_1	promoter	2.779592563995961	31.113354846799048	42.89692674202979	4.336349178066824	18.87377666910838	0.1404	1.5715666666666666	2.1667666666666667	0.21903333333333333	0.9533333333333334	1.0	0
FP009403_HLA-C_1	promoter	48.375342277116026	21.53604965864975	6.738026259341451	3.492947899729356	19.857633905163418	3.044566666666667	1.3554	0.42406666666666665	0.21983333333333333	1.2497666666666667	1.0	0
FP017384_ATF7IP_2	promoter	6.55991645635715	18.765990775389437	53.44008354364286	8.511588779624633	12.722420444985932	0.3769	1.0782	3.0704000000000002	0.4890333333333333	0.7309666666666667	1.0	0
FP001195_BCL10_1	promoter	21.961983269384604	24.615968653822687	20.835310546795558	13.396016649267187	19.190720880729963	1.0799	1.2104	1.0245	0.6587	0.9436333333333333	1.0	0
